No.,Time,Source,Destination,Protocol,Length,Info,Type,Type_of_attack
1,2025-06-30 10:57:32,192.168.100.1,192.168.100.19,TCP,54,"Ether / IP / TCP 192.168.100.1:ftp_data > 192.168.100.19:ftp S",Non-Attack,No Attack
2,2025-06-30 10:57:32,192.168.100.19,192.168.100.1,TCP,54,"Ether / IP / TCP 192.168.100.19:ftp > 192.168.100.1:ftp_data RA",Non-Attack,No Attack
3,2025-06-30 10:57:33,192.168.100.1,192.168.100.19,TCP,54,"Ether / IP / TCP 192.168.100.1:ftp_data > 192.168.100.19:ssh S",Non-Attack,No Attack
4,2025-06-30 10:57:33,192.168.100.19,192.168.100.1,TCP,54,"Ether / IP / TCP 192.168.100.19:ssh > 192.168.100.1:ftp_data RA",Non-Attack,No Attack
5,2025-06-30 10:57:33,192.168.100.1,192.168.100.19,TCP,54,"Ether / IP / TCP 192.168.100.1:ftp_data > 192.168.100.19:telnet S",Non-Attack,No Attack
6,2025-06-30 10:57:33,192.168.100.19,192.168.100.1,TCP,54,"Ether / IP / TCP 192.168.100.19:telnet > 192.168.100.1:ftp_data RA",Non-Attack,No Attack
7,2025-06-30 10:57:33,192.168.100.1,192.168.100.19,TCP,54,"Ether / IP / TCP 192.168.100.1:ftp_data > 192.168.100.19:smtp S",Attack,Port Scan (Nmap)
8,2025-06-30 10:57:33,192.168.100.19,192.168.100.1,TCP,54,"Ether / IP / TCP 192.168.100.19:smtp > 192.168.100.1:ftp_data RA",Non-Attack,No Attack
9,2025-06-30 10:57:34,192.168.100.1,192.168.100.19,TCP,54,"Ether / IP / TCP 192.168.100.1:ftp_data > 192.168.100.19:domain S",Non-Attack,No Attack
10,2025-06-30 10:57:34,192.168.100.19,192.168.100.1,TCP,54,"Ether / IP / TCP 192.168.100.19:domain > 192.168.100.1:ftp_data RA",Non-Attack,No Attack
11,2025-06-30 10:57:34,192.168.100.1,192.168.100.19,TCP,54,"Ether / IP / TCP 192.168.100.1:ftp_data > 192.168.100.19:http S",Attack,DoS (TCP Flood)
