No.,Time,Source,Destination,Protocol,Length,Info,Type,Type_of_attack
1,2025-07-07 12:18:40,192.168.100.1,192.168.100.19,TCP,54,"Ether / IP / TCP 192.168.100.1:31091 > 192.168.100.19:http_alt S",Non-Attack,No Attack
2,2025-07-07 12:18:40,192.168.100.1,192.168.100.19,ARP,42,"Ether / ARP who has 192.168.100.19 says 192.168.100.1",Non-Attack,No Attack
3,2025-07-07 12:18:40,192.168.100.1,192.168.100.17,TCP,54,"Ether / IP / TCP 192.168.100.1:57917 > 192.168.100.17:https S",Non-Attack,No Attack
4,2025-07-07 12:18:41,192.168.100.1,192.168.100.17,ARP,42,"Ether / ARP who has 192.168.100.17 says 192.168.100.1",Non-Attack,No Attack
5,2025-07-07 12:18:41,192.168.100.1,192.168.100.14,TCP,54,"Ether / IP / TCP 192.168.100.1:38887 > 192.168.100.14:http_alt S",Non-Attack,No Attack
6,2025-07-07 12:18:41,192.168.100.14,192.168.100.1,TCP,54,"Ether / IP / TCP 192.168.100.14:http_alt > 192.168.100.1:38887 RA",Non-Attack,No Attack
7,2025-07-07 12:18:41,192.168.100.1,192.168.100.14,TCP,54,"Ether / IP / TCP 192.168.100.1:18335 > 192.168.100.14:https S",Non-Attack,No Attack
8,2025-07-07 12:18:41,192.168.100.14,192.168.100.1,TCP,54,"Ether / IP / TCP 192.168.100.14:https > 192.168.100.1:18335 RA",Non-Attack,No Attack
9,2025-07-07 12:18:41,192.168.100.1,192.168.100.14,TCP,54,"Ether / IP / TCP 192.168.100.1:34221 > 192.168.100.14:https S",Non-Attack,No Attack
10,2025-07-07 12:18:41,192.168.100.14,192.168.100.1,TCP,54,"Ether / IP / TCP 192.168.100.14:https > 192.168.100.1:34221 RA",Non-Attack,No Attack
11,2025-07-07 12:18:41,192.168.100.1,192.168.100.14,TCP,54,"Ether / IP / TCP 192.168.100.1:12971 > 192.168.100.14:ms_wbt_server S",Attack,DoS (TCP Flood)
12,2025-07-07 12:18:41,192.168.100.14,192.168.100.1,TCP,54,"Ether / IP / TCP 192.168.100.14:ms_wbt_server > 192.168.100.1:12971 RA",Non-Attack,No Attack
13,2025-07-07 12:18:41,192.168.100.1,192.168.100.14,TCP,54,"Ether / IP / TCP 192.168.100.1:20472 > 192.168.100.14:http_alt S",Non-Attack,No Attack
14,2025-07-07 12:18:41,192.168.100.14,192.168.100.1,TCP,54,"Ether / IP / TCP 192.168.100.14:http_alt > 192.168.100.1:20472 RA",Non-Attack,No Attack
15,2025-07-07 12:18:41,192.168.100.1,192.168.100.14,TCP,54,"Ether / IP / TCP 192.168.100.1:65309 > 192.168.100.14:ms_wbt_server S",Non-Attack,No Attack
16,2025-07-07 12:18:41,192.168.100.14,192.168.100.1,TCP,54,"Ether / IP / TCP 192.168.100.14:ms_wbt_server > 192.168.100.1:65309 RA",Attack,DoS (TCP Flood)
17,2025-07-07 12:18:41,192.168.100.1,192.168.100.14,TCP,54,"Ether / IP / TCP 192.168.100.1:62333 > 192.168.100.14:https S",Non-Attack,No Attack
18,2025-07-07 12:18:41,192.168.100.14,192.168.100.1,TCP,54,"Ether / IP / TCP 192.168.100.14:https > 192.168.100.1:62333 RA",Non-Attack,No Attack
19,2025-07-07 12:18:41,192.168.100.1,192.168.100.14,TCP,54,"Ether / IP / TCP 192.168.100.1:43127 > 192.168.100.14:ms_wbt_server S",Non-Attack,No Attack
